title;category;imageFiles;shortDescription;additionalInfo
Modellprojekt Smarter Traditionssegler;KuestenUndMeeresschutz;;Der Traditionssegler Freedom Kiel wurde mit Solarsegeln ausgestattet, um Strom für den Bordbistro-Betrieb zu erzeugen. Dieses Projekt setzt ein Zeichen für umweltfreundliche Schifffahrt und förderte Diskussionen und Veranstaltungen zu Nachhaltigkeit, Energieeffizienz und Klimaschutz in der KielRegion.;
Smartes Energiemanagement;Quartiersentwicklung;smartes-energiemanagement_1.png;Es wurde ein Monitoring-System zur Überwachung aller Energieträger im Hohen bzw. Niederem Arsenal in Rendsburg eingeführt, um den Energieverbrauch effizienter zu gestalten und die Energiewende zu unterstützen. Durch den Einsatz moderner Sensorik und Gebäudetechnik konnten Einsparungspotenziale identifiziert und umgesetzt werden, was zu Kostensenkungen und verbessertem Klimaschutz führte.;
Parklets;SmarteMobilitaet;parklets_1.png;Es werden neue Aufenthaltsorte im öffentlichen Raum geschaffen, indem einzelne Parkplätze in kleine Begegnungsflächen umgewandelt werden. In einem Beteiligungsprozess mit Bürger*innen und lokalen Akteur*innen wurde ein modularer Gestaltungskatalog entwickelt, der eine einfache und einheitliche Umsetzung in der KielRegion ermöglicht. Die Parklets fördern Lebensqualität, Nachhaltigkeit und das soziale Miteinander in den Quartieren. ;
ShapeyourClimate@KielRegion;Beteiligung;;Am Kieler Europaplatz enstand im Mai 2022 das Klimaforum. Eine flexibel gestaltete Ausstellung vermittelte Wissen und Handlungsmöglichkeiten im Kontext Klimawandel, ein Veranstaltungs- und Beteiligungskonzept erweitert das Angebot. Mit dem Projekt „ShapeYourClimate@KielRegion“ sollten Möglichkeiten erprobt werden, das Klimaforum um digitale und „smarte“ Elemente zu erweitern.;
Seaweed Underwater Planting Project;KuestenUndMeeresschutz;;Das Projekt stärkte das Bewusstsein für die Bedeutung von Seegras und dessen Rolle im Küstenschutz. Neben einer Sammelaktion und einer Seegras-Station mit Aquarien wurde eine Virtual-Reality-Erfahrung entwickelt, die es Nicht-Tauchern ermöglicht, die Unterwasserwelt ihrer Region virtuell zu erkunden.;
Smarte und ökologische Gasse im Zentrum von Nortorf;Quartiersentwicklung;smarte-und-oekologische-gasse-im-zentrum-von-nor_1.png;Im Zentrum von Nortorf wurde eine intelligente Straßenbeleuchtung im „Katzenstieg“ installiert, um Energie zu sparen und die Lichtverschmutzung zu reduzieren. Sensoren aktivieren das Licht nur bei Bedarf, was zusätzlich Insekten schützt und zum Naturschutz beiträgt.;
Mobility Info Stele am Bahnhof Rendsburg;SmarteMobilitaet;mobility-info-stele-am-bahnhof-rendsburg_1.png;Die Digitale Stele bietet den Nutzer*innen auf einer interaktiven Touch-Bedienoberfläche die Möglichkeit, sich mit Echtzeit-Daten zu den Mobilitätsangeboten im Umkreis von 300m zu informieren. Auf einer Karte können sich die Nutzer*innen nicht nur räumlich orientieren und die Standorte und Haltestellen der Verkehrsmittel erkennen, sondern werden auch über die Angebote der Taxi-Unternehmen, von ReMo oder des Schienenersatzverkehrs informiert.;
Beteiligungsökosystem;Beteiligung;beteiligungsoekosystem_1.png;Die Maßnahme Digitales Beteiligungsökosystem verfolgt das Ziel, digitale Bürger*innenbeteiligung in der Stadtentwicklung einfacher und durchgängiger zu gestalten. In einer Kooperation mit Bamberg, Hildesheim, Lübeck und der KielRegion werden Schnittstellen zwischen digitalin Beteiligungstools wie adhocracy+, DIPAS und Wechange entwickelt, um eine integrierte Nutzung zu ermöglichen. So entsteht ein Beteiligungsökosystem, das digitale Teilhabe auf allen Ebenen – von Information bis Kollaboration – unterstützt. Alle entwickelten Lösungen werden offen auf dem Marktplatz deutschlanddigital.org bereitgestellt.;
Digitale Teilhabe in Altenheimen;Kompetenzaufbau;digitale-teilhabe-in-altenheimen_1.png;Digitale Bildung wird direkt zu Senior*innen in Einrichtungen der Alten- und Langzeitpflege gebracht. In wöchentlichen, praxisnahen Sprechstunden lernten ältere Menschen den sicheren Umgang mit Smartphones, Messenger-Diensten und dem Internet – angepasst an ihre individuellen Bedürfnisse. ;
DigitalWerk vor Ort;Kompetenzaufbau;digitalwerk-vor-ort_1.png;Die Maßnahme DigitalWerk vor Ort bringt digitale Bildung direkt in die KielRegion – mobil, praxisnah und für alle Altersgruppen. Aufbauend auf den Erfahrungen aus dem Projekt SchönWerk werden kreative Lernformate in einem mobilen Raum angeboten, um flexibel auf regionale Bedarfe zu reagieren. Ziel ist es, digitale Teilhabe niedrigschwellig und ortsunabhängig zu ermöglichen.;
Rent-an-x Plattform: Matchmaking Plattform für Lernende und Lehrende;Kompetenzaufbau;;Die Rent-an-x Plattform, aufbauend auf dem "Rent-A-Scientist" Projekt, ist eine Matchmaking-Plattform, die Lernende und Lehrende im Bereich digitaler Themen zusammenbringt. Nutzer*innen können sich über Weiterbildungsmöglichkeiten informieren, Kontakt aufnehmen und Kurse starten.;
SchönWerk;Kompetenzaufbau;schoenwerk_1.png;Die Maßnahme SchönWerk – Kreativ.Digital.Gemeinsam. fördert digitale Kompetenzen für alle Altersgruppen in der Probstei. In fünf modern ausgestatteten Räumen in Schönberg entstehen kreative Lern- und Beteiligungsmöglichkeiten – vom Aufnahmestudio über Design-Fabrik bis zum DigiLab mit 3D-Druck. Ziel ist es, Chancengleichheit und Mitgestaltung durch digitale Bildung zu ermöglichen.;
Eigenvorsorge- Eine Ausstellung zu Überflutungsrisiken;KuestenUndMeeresschutz;;Die interaktive Ausstellung zu Überflutungsrisiken stärkte das Bewusstsein der Bevölkerung durch ein kreatives, partizipatives Ausstellungsformat in Kiel, Flensburg und Lübeck. Persönliche Geschichten und Exponate der Bevölkerung vermitteln die Bedeutung von Anpassung an Überflutungsrisiken auf emotionale und alltagsnahe Weise.;
Raum X - ein Zukunftslabor;Quartiersentwicklung;raum-x---ein-zukunftslabor_1.png;In Kiel wurde ein Zukunftslabor namens Raum X zur Quartiersentwicklung eingerichtet, das als Impulsraum für Stadtforscher, Künstler, Kreative, Politik und Verwaltung dient. Durch Workshops und Vernetzungsaktivitäten sollen Schulen, Hochschulen, Vereine und Initiativen motiviert werden, gemeinsam an einer nachhaltigen Innenstadtentwicklung zu arbeiten.;
Besucher*innen-Lenkung an der Kiellinie;SmarteMobilitaet;;Die Kiellinie wird stark von Fußgänger*innen und Radfahrenden genutzt, was bei hohem Andrang zu Konflikten führen kann. Statt statischer Schilder soll künftig eine digitale Anzeige je nach Besucheraufkommen dynamisch Empfehlungen geben: Bei wenig Betrieb dürfen Radfahrende zügig fahren, bei viel Betrieb wird ihnen eine alternative Route über die Veloroute vorgeschlagen.;
Beteiligungstelefon;Beteiligung;beteiligungstelefon_1.png;Auch weniger digital-affinen Bürger*innen wird die Teilnahme an Partizipationsprozessen ermöglicht, indem sie ihre Ideen per Telefon einsprechen können. Diese Nachrichten werden zukünftig automatisch von einer KI-gestützten Software ausgewertet. Eine Telefonzelle mit einem Display wird auf Basis eines Prototyps aus Aarhus weiterentwickelt.;
Digitale Küstenkarte;KuestenUndMeeresschutz;;Ein digitales Küsteninformationssystem wird für die KielRegion entwickelt, das kommunalen Akteur*innen fundierte Entscheidungsgrundlagen bietet. Als digitaler Zwilling der Ostseeküste ermöglicht es die Simulation von Szenarien wie Überflutungen, Küstenerosion oder Algenblüten auf Basis historischer, Echtzeit- und Prognosedaten. So wird Küstenschutz greifbar und auch für fachfremde Nutzer*innen verständlich.;
Erlebnispfad Digitales Dorf(er)leben;Quartiersentwicklung;erlebnispfad-digitales-dorferleben_1.png;Auf dem Hof Viehbrook bei Wankendorf wurde ein interaktiver Erlebnispfad eingerichtet, der die Möglichkeiten von Digitalisierung, Mobilität und erneuerbaren Energien im ländlichen Raum aufzeigt. Besucher können dort digitale Lösungen wie das An- und Ausschalten der Hofbeleuchtung per App entdecken und ausprobieren, mit dem Ziel, diese Ideen auf andere Bereiche zu übertragen und nachzuahmen.;
Smarte Kanalquerung Rendsburg;SmarteMobilitaet;smarte-kanalquerung-rendsburg_1.png;Die Maßnahme Smarte Kanalquerung soll die Verkehrslage an den Querungspunkten des Nord-Ostsee-Kanals bei Rendsburg in Echtzeit erfassen und an Verkehrsteilnehmende ausspielen. Ziel ist es, Staus zu vermeiden, indem Pendler*innen und Tourist*innen frühzeitig über Querungspunkte informiert werden. Dafür werden bestehende und neue Sensordaten auf der regionalen Datenplattform der KielRegion zusammengeführt und visualisiert.;
Offenes W-Lan als Beteiligungstool;Beteiligung;;Die Maßnahme Offenes WLAN als Beteiligungstool fördert digitale Teilhabe in strukturschwachen Quartieren wie Gaarden durch frei zugängliches WLAN im öffentlichen Raum. Über eine personalisierte Anmeldemaske erhalten Bürger*innen ortsbezogene Informationen zu Beteiligungsprozessen, Veranstaltungen und Bauvorhaben – und werden zur Mitgestaltung motiviert. ;
Spielerische Datenvisualisierungen;KuestenUndMeeresschutz;;Die spielerische Datenvisualisierung zielt darauf ab, Bürger*innen für ihre Rolle im Küstenschutz zu sensibilisieren, indem komplexe Themen vereinfacht und zugänglicher gemacht werden. Ein Beispiel sind geplante digitale Anwendungen, die es ermöglichen, die Küste der KielRegion interaktiv und spielerisch zu erkunden.;
Smartes und altersgerechtes Wohnen im Quartier Marthas Insel;Quartiersentwicklung;smartes-und-altersgerechtes-wohnen-im-quartier-m_1.png;Die Maßnahme Smartes und altersgerechtes Wohnen unterstützt ein selbstbestimmtes Leben im Alter durch digitale Assistenzsysteme wie Sturzsensoren, automatisierte Beleuchtung und Kommunikationslösungen. Drei Wohnungen wurden entsprechend ausgestattet, ergänzt durch eine digitale Ausstellung im Quartiersraum „Marthas Treff“. In Zusammenarbeit mit der Anlaufstelle Nachbarschaft MITTE finden dort regelmäßig digitale Sprechstunden statt.;
Citizen Science;KuestenUndMeeresschutz;;Die Maßnahme Citizen Science lädt Bürger*innen der KielRegion dazu ein, sich aktiv am Küstenschutz zu beteiligen und die Dynamiken der Ostseeküste besser zu verstehen. Gemeinsam mit Forschungseinrichtungen sollen digitale Formate zur Datenerhebung und -auswertung entstehen, die für verschiedene Zielgruppen der breiten Öffentlichkeit zugänglich sind. So wird das Umweltbewusstsein gestärkt und Wissen in die Gesellschaft getragen. Die gesammelten Daten fließen u. a. in die digitale Küstenkarte ein und schaffen direkten regionalen Nutzen.;
Digitales Quartiersentwicklungstool am Beispiel Wärme;Quartiersentwicklung;digitales-quartiersentwicklungstool-am-beispiel-_1.png;Das Open Source Urban Building Energy Model (UBEM) für die KielRegion soll einen offenen Datenservice zur detaillierten Simulation von Heiz- und Kühlbedarf von Gebäuden bieten. Dieses Tool unterstützt kommunale Mitarbeitende bei der Planung von Nahwärmenetzen und energetischen Sanierungen, indem es datenbasierte Szenarien für die kommunale Wärmeplanung und Quartiersentwicklung bereitstellt.;
Sensorik zur Generierung von küstenschutzrelevanten Daten;KuestenUndMeeresschutz;;Es wird eine Sensorik-Infrastruktur aufgebaut, um wichtige Daten für den Küsten- und Meeresschutz zu sammeln und fundierte Entscheidungen zu ermöglichen. Diese Daten fließen in Systeme wie die „Digitale Küstenkarte“ ein und bieten Echtzeitinformationen.;
Smarte Bäume;Quartiersentwicklung;smarte-baeume_1.png;Der ökologische Wert von Bäumen für das Stadtklima wird sichtbar gemacht und unterstützt ihre Pflege durch erfasste Daten. An mehreren Standorten in der KielRegion erfassen LoRaWAN-Sensoren an den Bäumen Umweltparameter wie Luft- und Bodenfeuchte, Temperatur und Windgeschwindigkeit. Die Daten fließen in die regionale Datenplattform und stehen der Stadtgesellschaft sowie kommunalen Mitarbeitenden offen zur Verfügung.;
Smarte Wasserplanung im Quartier;Quartiersentwicklung;smarte-wasserplanung-im-quartier_1.png;Die Maßnahme Smarte Wasserplanung unterstützt die Klimaanpassung durch den Einsatz von LoRaWAN-Sensoren zur Erfassung von Wasserständen in Feuerlöschteichen, Regenrückhaltebecken und Wasserläufen. Gemeinsam mit kommunalen Partnern und der Feuerwehr wurden mehrere Pilotstandorte ausgestattet. Die Daten fließen in die regionale Datenplattform der KielRegion. So entsteht eine Datengrundlage für die Überwachung öffentlicher Infrastrukturen und die Planung von Freiraumflächen. ;
Climate Blue;KuestenUndMeeresschutz;climate-blue_1.png;ClimateBlue ist ein deutsch-dänisches Kooperationsprojekt zur Entwicklung nachhaltiger Strategien für den Umgang mit des Auswirkungen des Klimwandels in Küstenregionen. Ziel ist es, basierend auf der Sturmflut im Oktober 2023, das Wissen und die Erfahrungen der Menschen aus der Region zu bündeln. Gemeinsam sollen tragfähige Anpassungsstrategien über Landesgrenzen hinweg entwickelt werden. Das Projekt läuft bis 2028 und wird vom SDU Climate Cluster koordiniert.;
